user id,Age,Urbain,"Casual, Urbancool, Streetwear","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique","Vintage, Kawaii",Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_mode,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
20,49.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,3136.733333333333,3467.681818181818,6,4,0,0,18,16,7,0,0,3,1
21,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1965.85,1268.5,8,2,0,0,5,1,5,2,3,0,1
23,24.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,24,4,0,0,0,0,1
71,36.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1789.0625,1970.75,7,3,0,0,3,3,3,4,2,1,1
126,25.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,3033.233333333333,3608.818181818182,8,2,0,0,15,19,4,3,2,1,1
149,23.0,1,3,3,2,0,1,1,2,0,0,2,0,0,3,3,1,0,2,0,6,1,0,0,0,3094.086956521739,3421.6206896551726,4,6,0,0,16,18,3,4,1,2,1
153,30.0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,6,0,1,2,4,0,4,8,0,0,4500.0,4500.0,0,0,0,0,20,8,0,0,0,0,1
198,28.0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,9,19,0,0,0,0,1
207,22.0,1,3,3,2,2,1,2,2,0,1,7,2,3,9,13,1,10,20,12,5,3,9,1,0,4500.0,0.0,0,0,0,0,28,0,0,0,0,0,3
228,34.0,0,1,0,1,0,1,2,1,0,0,3,1,0,0,0,0,2,3,1,0,0,0,0,0,2826.0789473684213,4500.0,10,0,0,0,20,14,7,0,3,0,1
