user id,Age,Urbain,"Casual, Urbancool, Streetwear","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique","Vintage, Kawaii",Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_mode,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
10,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22541.666666666668,54731.25,12,16,0,0,0,0,4,3,6,13,1
12,25.0,0,2,1,0,0,0,1,0,0,0,2,1,0,1,2,0,4,7,4,1,1,2,0,0,24223.809523809523,32230.0,15,14,1,3,0,0,7,8,12,12,1
13,24.0,0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.0,445.45454545454544,0,1,1,3,0,0,0,8,2,3,1
14,24.0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.5555555555555,300.0,1,0,1,3,0,0,5,3,4,1,1
15,24.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,1,3,0,1,0,0,700.0,518.1818181818181,0,1,0,4,0,0,1,7,1,4,1
16,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.0,300.0,0,0,1,2,0,0,1,1,1,1,1
18,24.0,0,0,1,0,2,0,1,1,0,0,0,2,1,0,3,13,0,0,9,5,11,14,0,0,33065.217391304344,19547.058823529413,19,9,0,4,0,0,6,9,15,8,3
20,49.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,16593.548387096773,19792.682926829268,18,16,5,9,0,0,14,13,15,27,1
21,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24304.545454545456,24965.78947368421,16,15,7,0,0,0,11,3,20,14,1
22,49.0,1,1,0,0,0,0,1,0,0,0,3,1,3,9,3,1,1,0,1,0,0,0,0,0,29854.545454545456,21012.5,24,5,2,2,0,0,10,5,23,1,1
23,24.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8730.232558139534,32775.862068965514,17,17,9,5,0,0,18,9,24,18,1
57,24.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,38220.833333333336,57225.0,24,4,0,0,0,0,6,1,16,3,1
58,24.0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2,0,13,44,98,67,37,27,6,9,28820.0,71225.0,20,8,0,0,0,0,5,2,13,6,2
59,18.0,0,3,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,36409.52380952381,54514.28571428572,21,7,0,0,0,0,5,2,14,5,1
60,30.0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,21275.0,44212.5,4,24,0,0,0,0,0,7,4,15,1
61,21.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34737.5,78125.0,24,4,0,0,0,0,6,1,16,3,1
62,24.0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49736.84210526316,22355.555555555555,19,9,0,0,0,0,5,2,14,5,1
63,24.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54700.0,33288.88888888889,10,18,0,0,0,0,3,4,6,13,1
65,57.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,1
66,24.0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41936.36363636364,37266.666666666664,22,6,0,0,0,0,5,2,17,2,1
67,25.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,3,1,1,0,1,0,0,22083.333333333332,46077.27272727273,6,22,0,0,0,0,2,5,4,15,1
68,26.0,1,1,1,1,1,1,1,0,0,0,4,4,3,7,2,1,9,18,12,3,5,4,0,0,14866.666666666666,44064.0,3,25,0,0,0,0,2,5,1,18,3
69,42.0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,30620.0,46666.666666666664,10,18,0,0,0,0,5,2,4,15,1
70,26.0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,2,0,7,20,9,2,7,6,0,0,42918.181818181816,33666.666666666664,22,6,0,0,0,0,5,2,15,4,1
71,36.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,42377.27272727273,35650.0,22,6,0,0,0,0,6,1,14,5,1
72,28.0,1,1,1,1,2,1,1,0,0,0,3,1,2,3,2,0,6,22,17,5,5,9,1,0,32352.63157894737,59055.555555555555,19,9,0,0,0,0,5,2,12,7,3
73,29.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6,12,9,2,0,2,0,0,31833.333333333332,68242.85714285714,21,7,0,0,0,0,5,2,14,5,1
74,42.0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,7,7,10,1,1,5,0,0,35778.94736842105,51822.22222222222,19,9,0,0,0,0,6,1,12,7,1
75,25.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28854.545454545456,85233.33333333333,22,6,0,0,0,0,6,1,14,5,1
76,31.0,0,1,3,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,2,0,0,0,0,0,35300.0,52833.333333333336,19,9,0,0,0,0,5,2,13,6,1
77,24.0,1,3,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,4,10,4,1,2,1,0,32468.18181818182,71983.33333333333,22,6,0,0,0,0,6,1,15,4,1
78,25.0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,32556.521739130436,79480.0,23,5,0,0,0,0,6,1,15,4,1
79,21.0,1,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,3,3,0,0,0,0,0,32512.5,52166.666666666664,16,12,0,0,0,0,3,4,11,8,1
80,37.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,34100.0,61442.857142857145,21,7,0,0,0,0,6,1,13,6,1
81,34.0,0,1,1,0,0,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,34265.0,57612.5,20,8,0,0,0,0,6,1,12,7,1
82,24.0,0,3,3,0,0,0,0,0,0,0,0,2,1,4,5,0,5,2,12,7,5,6,1,0,34209.52380952381,61114.28571428572,21,7,0,0,0,0,5,2,14,5,3
83,35.0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,38309.09090909091,42635.294117647056,11,17,0,0,0,0,3,4,7,12,1
84,26.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,1,1,0,1,0,0,36170.58823529412,48300.0,17,11,0,0,0,0,4,3,11,8,1
85,24.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46045.0,28162.5,20,8,0,0,0,0,5,2,14,5,1
86,24.0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36340.90909090909,57783.333333333336,22,6,0,0,0,0,7,0,14,5,1
87,24.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45518.181818181816,37970.58823529412,11,17,0,0,0,0,2,5,9,10,1
88,21.0,1,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,38941.17647058824,44018.181818181816,17,11,0,0,0,0,4,3,11,8,1
89,29.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,44700.0,35916.666666666664,16,12,0,0,0,0,2,5,14,5,1
90,24.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38375.0,56300.0,24,4,0,0,0,0,6,1,16,3,1
