user id,Age,Urbain,"Casual, Urbancool, Streetwear","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique","Vintage, Kawaii",Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_mode,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
3,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3570.0,2416.6666666666665,1,2,10,5,0,0,5,4,6,1,4
4,24.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4200.0,0,0,0,1,0,0,0,0,0,1,4
8,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2650.0,0,1,0,6,0,0,0,2,0,5,4
9,24.0,0,1,0,0,0,1,0,0,0,0,6,0,1,6,8,0,2,5,0,1,0,3,0,0,2718.181818181818,4116.666666666667,3,0,10,6,0,0,6,4,5,2,4
10,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680.0,6109.090909090909,4,4,2,9,4,3,1,6,4,4,4
12,25.0,0,2,1,0,0,0,1,0,0,0,2,1,0,1,2,0,4,7,4,1,1,2,0,0,7390.0,5594.594594594595,1,8,9,34,0,0,4,19,7,19,4
13,24.0,0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4440.0,6391.891891891892,3,6,9,34,0,0,2,21,8,18,4
14,24.0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4929.62962962963,7390.0,6,3,23,20,0,0,14,9,14,12,4
15,24.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,1,3,0,1,0,0,4400.0,6402.7027027027025,2,7,9,34,0,0,4,19,6,20,4
16,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3825.0,3450.0,0,0,8,2,0,0,4,2,4,0,4
18,24.0,0,0,1,0,2,0,1,1,0,0,0,2,1,0,3,13,0,0,9,5,11,14,0,0,5337.5,6107.692307692308,1,8,7,36,0,0,5,18,3,23,3
19,24.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2900.0,0,0,0,1,0,0,0,0,0,1,4
20,49.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,30118.977777777778,33179.374592833876,72,211,29,153,11,13,37,109,60,207,1
21,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31211.905172413793,42110.35,85,69,56,49,17,5,50,38,73,67,1
22,49.0,1,1,0,0,0,0,1,0,0,0,3,1,3,9,3,1,1,0,1,0,0,0,0,0,8888.888888888889,7700.0,5,3,7,7,0,0,4,7,6,4,4
23,24.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25728.96551724138,29214.134831460673,91,67,51,50,19,4,48,43,82,52,1
24,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500.0,8706.666666666666,1,7,1,13,0,0,1,10,1,9,4
57,24.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2941.6666666666665,3860.0,2,1,11,5,0,0,6,4,5,2,4
58,24.0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2,0,13,44,98,67,37,27,6,9,25744.285714285714,25994.69230769231,44,32,25,21,0,1,17,14,40,29,2
59,18.0,0,3,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,38153.2,25571.14285714286,11,27,5,11,0,0,3,13,12,23,4
60,30.0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,17628.04761904762,31688.984615384616,16,57,10,28,0,1,8,19,15,49,4
61,21.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800.0,3475.0,0,0,4,4,0,0,3,3,1,1,4
62,24.0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450.0,4033.3333333333335,0,0,2,6,0,0,1,5,1,1,4
63,24.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115.6666666666665,15914.07142857143,2,8,4,6,0,0,2,7,4,8,4
65,57.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3466.6666666666665,3740.0,0,0,3,5,0,0,3,3,0,2,4
66,24.0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29535.727272727272,29292.17948717949,7,31,3,13,0,0,3,13,8,27,4
67,25.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,3,1,1,0,1,0,0,3933.3333333333335,3460.0,0,0,3,5,0,0,2,4,1,1,4
68,26.0,1,1,1,1,1,1,1,0,0,0,4,4,3,7,2,1,9,18,12,3,5,4,0,0,10459.56,20447.52380952381,10,25,21,32,1,1,12,18,16,26,3
69,42.0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3360.0,4100.0,0,0,5,3,0,0,4,2,1,1,4
70,26.0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,2,0,7,20,9,2,7,6,0,0,4939.466666666666,20828.428571428572,8,4,8,3,0,0,8,1,8,6,4
71,36.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,18007.938775510203,34020.645161290326,38,54,24,25,5,4,15,17,35,50,4
